,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
ZGGG,12,17,9,15,11,7,5,10,7,3,3,2,1,4,0,1,1,1,3,0,1,4,3,1,1,2,2,0,0,1,1,0,4,4,9,3,10,7,9,10,3,11,12,7,12,6,14,4,7,11,9,12,4,9,8,9,7,10,10,8,9,13,11,13,6,11,13,6,8,9,8,8,13,7,7,7,11,8,8,9,8,8,8,13,9,6,6,11,10,7,6,14,5,9,10,8
ZSPD,11,14,7,13,3,4,6,3,1,4,1,1,1,0,4,0,3,4,3,3,6,3,4,4,1,5,3,2,2,2,6,2,2,3,5,1,5,8,13,11,9,6,12,5,4,7,5,9,6,9,9,7,7,5,11,8,7,9,13,9,6,12,11,9,11,5,7,12,6,8,6,13,12,8,9,10,10,9,10,9,8,9,6,8,13,7,1,12,12,8,6,9,11,7,12,10
ZGSZ,10,9,6,12,11,4,3,1,2,3,3,5,2,1,1,2,1,2,3,2,4,4,3,1,0,2,1,0,0,0,6,0,3,3,7,3,2,7,9,6,3,9,9,4,2,6,11,2,8,7,12,5,4,5,13,6,8,4,11,10,8,7,10,5,2,8,9,10,6,5,5,8,10,5,5,9,8,4,2,13,3,6,8,7,7,6,5,7,12,4,1,11,9,6,6,7
ZBAA,8,7,4,4,4,3,3,3,2,0,0,0,1,1,0,1,0,0,1,4,3,2,0,3,1,1,1,0,0,0,1,1,2,2,4,0,3,6,5,3,9,11,12,5,13,10,8,8,12,7,8,4,15,6,7,2,6,7,9,7,7,5,15,5,8,6,8,6,10,6,6,10,4,2,2,3,2,4,3,4,7,5,10,15,9,9,7,7,8,9,11,9,5,9,7,7
ZUTF,8,6,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,4,4,2,5,4,6,7,9,11,6,8,10,6,6,5,8,4,8,7,5,6,10,5,10,12,8,9,8,5,4,7,9,5,8,5,7,4,5,8,10,9,7,6,9,6,7,4,6,6,5,14,11,8,4,6,8,6,5,4,5,4
ZPPP,8,10,12,13,8,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,5,2,3,4,5,4,8,10,9,4,9,7,9,5,4,11,9,5,2,10,11,4,7,4,8,7,5,8,7,6,5,5,10,7,8,7,5,4,6,8,6,5,12,9,8,8,7,4,3,7,8,5,5,9,6,8,6,6,7,5,14,6
ZLXY,9,9,10,10,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,4,1,1,9,7,4,7,8,9,4,6,5,7,3,7,6,8,7,8,7,7,8,6,7,8,5,6,8,8,5,4,5,4,5,8,4,5,6,4,7,5,7,9,8,8,9,6,7,8,6,8,6,4,8,7,9,3,9,9,3,1,7,7,9,5,2
ZUCK,6,10,8,7,5,5,8,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,1,3,5,2,1,11,8,5,4,12,5,8,2,3,11,6,6,9,9,8,1,3,5,9,4,5,7,7,6,6,8,8,6,6,9,9,5,4,4,12,8,5,5,9,3,8,6,8,7,3,5,7,9,5,10,8,10,8,5,7,7,7,11,6
ZSHC,7,5,7,3,6,8,3,8,5,2,3,1,1,4,1,2,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,2,2,2,3,2,8,5,3,7,9,4,1,5,5,7,4,7,9,6,1,1,9,9,4,7,5,7,2,5,7,6,7,6,4,6,10,3,3,7,8,7,1,6,3,4,7,4,7,4,5,3,6,4,2,2,5,4,7,11,9,7,9,1,5
ZBAD,11,9,10,5,1,3,1,0,1,2,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,2,2,5,8,6,9,8,8,4,6,5,3,7,4,6,9,5,8,6,7,8,8,8,8,6,8,7,6,6,6,6,8,8,7,8,8,5,5,6,9,7,10,8,8,8,5,6,1,6,7,4,6,12,9,5,4,6,8,5,4,8
ZSSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1,1,6,5,5,3,5,9,4,1,7,2,6,9,9,10,4,4,7,9,7,5,7,4,6,6,5,9,6,8,4,7,9,4,4,11,6,3,2,8,7,4,6,3,8,5,2,11,8,2,3,10,10,5,4,5,4,9,3,6,7,6,15,0
ZSNJ,1,4,0,5,3,2,4,2,3,7,9,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,4,2,6,4,8,4,4,6,6,3,1,2,3,3,7,7,11,4,6,6,7,2,6,3,5,8,7,5,5,4,6,2,3,3,3,5,7,6,2,4,6,3,5,4,3,5,5,3,4,7,6,4,6,4,3,2,5,2,0,6,4,8
ZUUU,3,6,6,3,3,2,0,1,1,2,0,2,0,3,1,0,0,0,1,0,1,0,4,0,0,1,0,0,1,1,1,0,0,0,0,1,0,2,4,0,2,5,5,2,6,8,8,4,3,4,6,2,2,3,4,2,4,6,4,2,5,8,4,3,4,4,3,5,5,2,1,5,2,3,3,6,4,6,0,3,5,2,3,4,7,6,5,6,6,7,5,4,6,5,4,5
ZHHH,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,5,6,3,3,4,4,3,2,7,7,2,2,6,9,9,0,3,7,4,2,6,5,6,5,4,8,5,5,5,4,5,1,4,5,3,5,3,6,3,6,5,6,4,5,3,5,8,9,2,3,6,4,3,5,6,5,2,1,4,6,2,4,2
ZGHA,5,5,2,7,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,8,4,3,5,7,4,1,5,7,4,5,4,5,3,3,7,4,5,4,7,4,3,5,1,7,5,7,3,6,7,1,2,5,3,1,6,7,5,3,3,5,7,1,8,5,2,5,3,7,3,3,6,5,6,5,2,1,6,5,2,4,8
ZHCC,2,2,4,5,1,0,6,2,3,0,0,0,0,0,1,2,0,0,1,0,0,1,6,0,0,0,2,0,0,0,0,2,2,2,4,3,4,7,8,4,3,2,5,3,5,4,5,7,4,6,5,9,3,6,5,6,5,4,5,4,7,2,3,7,2,4,3,7,6,3,5,8,0,3,3,7,4,5,2,5,4,2,4,5,3,7,11,2,2,0,0,3,5,4,5,3
ZSAM,7,6,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,2,8,1,0,4,6,3,3,5,5,3,4,4,4,1,6,5,0,2,4,4,2,4,4,2,2,1,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZWWW,4,7,4,11,4,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,3,0,3,0,1,0,0,1,6,2,1,8,7,3,5,2,4,4,3,4,3,2,4,7,4,3,4,5,5,2,2,3,4,2,2,4,5,8,1,7,5,5,2,3,6,4,5,4,4,1,7,4,3,2,3,7,3,2,3,5,11,3
ZSQD,7,4,5,3,4,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,2,3,3,7,4,0,5,5,3,3,2,3,5,2,4,5,0,5,3,5,3,1,2,3,4,1,3,11,2,0,3,8,4,2,3,6,6,3,2,4,2,3,7,6,2,3,3,5,4,6,3,6,7,3,2,4,6,2,0,4,2,5,2,9,5
ZJHK,4,3,6,7,6,3,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,3,3,1,4,2,1,4,4,1,3,4,4,3,4,2,2,1,2,3,6,4,5,4,5,4,3,2,1,1,3,4,2,2,3,6,5,6,3,5,2,3,4,1,3,3,5,3,3,0,1,2,3,4,4,1,3,3,3,5,5,4
ZYTX,4,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,2,1,3,3,4,2,2,3,5,1,6,7,2,5,1,3,4,1,4,4,3,4,2,5,5,2,3,6,3,3,3,4,2,4,1,3,2,3,6,3,7,3,2,3,3,4,3,2,2,5,4,2,5,2,9,2,3,3,6,1,4
ZBTJ,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,3,4,4,3,3,5,5,1,3,5,4,5,6,1,4,3,3,5,4,4,1,2,3,3,5,3,5,4,6,2,1,3,1,2,4,5,4,4,2,9,6,5,6,3,3,2,0,3,3,1,4,3,4,1,0,3,4,1,3,2
