,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
ZGGG,4,1,5,3,0,2,0,5,0,2,1,0,1,3,3,4,3,5,4,7,1,6,1,4,4,4,13,10,15,10,9,12,14,14,14,12,10,10,8,8,9,10,5,12,8,10,8,8,10,13,4,12,7,17,5,6,9,10,8,10,5,12,4,11,7,3,8,7,6,13,10,11,5,9,6,11,8,8,8,9,4,13,6,8,8,7,7,6,6,11,8,7,2,5,2,1
ZSPD,4,2,7,4,1,1,3,1,0,1,0,3,0,5,0,1,1,3,2,1,3,3,0,0,5,5,5,13,13,16,12,10,13,13,9,11,9,12,11,8,9,7,3,13,12,11,14,5,10,12,10,5,7,9,6,5,8,7,8,7,9,6,6,9,6,11,6,8,10,8,10,12,4,10,9,9,5,9,5,6,4,8,4,7,7,8,15,9,7,9,7,5,4,5,5,0
ZGSZ,0,4,1,0,1,0,3,3,0,5,3,2,0,3,3,3,3,2,1,1,3,4,1,3,4,2,9,12,12,9,8,9,11,7,12,8,9,13,8,9,9,7,6,8,11,8,6,7,12,7,4,6,10,11,4,7,6,7,5,9,4,10,5,4,6,9,5,6,5,14,5,3,10,7,4,6,6,10,9,4,2,13,2,6,4,12,5,5,4,4,3,1,4,4,5,3
ZBAA,1,6,2,3,1,3,0,1,0,1,3,3,3,1,1,1,0,1,1,0,0,1,0,1,0,3,3,9,19,6,13,15,17,8,17,9,13,9,9,8,7,5,4,5,8,6,6,7,12,5,6,7,17,1,8,8,13,8,8,9,7,10,5,8,4,7,8,6,6,11,5,7,7,7,8,6,4,7,6,5,8,7,6,6,2,4,1,3,0,3,2,0,1,2,0,2
ZUTF,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,9,8,12,8,6,6,12,6,7,7,12,9,3,4,6,5,8,4,12,8,11,5,14,6,8,9,4,5,9,7,6,2,11,8,10,10,8,7,10,3,6,9,11,4,4,6,6,2,6,3,9,10,8,6,8,4,3,0,1,4,2,0,0,0,1
ZPPP,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,7,14,10,7,12,16,17,9,4,9,10,5,7,9,2,8,4,4,4,5,8,8,6,8,7,5,11,7,6,5,9,11,6,4,8,7,3,6,8,6,7,6,7,6,3,6,4,10,5,8,6,3,8,5,6,8,7,8,11,7,1,5,7,3,3,3,4,4,4
ZLXY,2,2,0,1,0,0,1,0,0,2,2,3,0,1,1,0,0,0,0,1,0,0,0,0,0,5,7,13,8,12,10,10,12,8,9,6,5,5,5,6,9,7,4,7,10,12,7,6,6,6,5,7,6,7,8,5,4,11,9,5,5,7,3,7,8,9,7,3,6,5,10,5,4,4,7,2,5,7,6,9,5,7,8,4,3,7,5,3,4,7,8,4,4,5,6,3
ZUCK,2,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,9,13,14,12,4,4,9,5,9,7,9,7,9,5,5,12,5,6,8,6,7,10,5,8,5,4,6,8,10,9,5,8,6,3,8,5,5,8,6,7,4,4,5,9,7,7,3,6,8,3,7,8,6,3,8,5,6,3,4,8,7,1,3,5,4,3,4,3,12,2
ZSHC,0,2,3,0,0,2,0,2,2,2,2,2,0,0,2,2,3,5,5,1,4,2,2,0,3,2,7,10,8,11,10,5,7,7,11,5,7,12,4,7,8,10,1,4,6,9,2,8,3,10,5,1,7,5,1,6,9,7,2,2,8,12,4,4,4,10,3,1,3,8,4,5,1,3,6,3,3,2,3,7,6,6,5,4,5,6,4,2,2,5,4,3,2,1,2,1
ZBAD,0,1,0,2,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,8,11,11,14,15,12,9,9,14,7,5,7,4,5,5,10,4,3,11,11,4,3,6,8,6,6,1,8,5,4,5,7,2,6,7,8,8,6,4,7,2,7,6,9,7,3,6,7,9,6,6,5,5,10,4,9,9,8,3,2,0,4,1,0,0,2,0
